───────────────────────────────────────────────────────────────────────────────
Language                 Files     Lines   Blanks  Comments     Code Complexity
services/macroEngine.ts               43        8         3       32          5
~nents/dashboard/Sparkline.tsx        43        5         0       38          2
contexts/SelectionContext.tsx         41        6         0       35         10
hooks/actions/types.ts                40        3        10       27          5
~rvices/gemini/features/bom.ts        39        5         3       31          4
~_/storageSanitization.test.ts        39        5         4       30          1
~emini/features/predictions.ts        39        4         4       31          1
~gemini/features/simulation.ts        38        5         3       30          3
services/api/events.ts                37        7         1       29          7
~rvices/threeWorkerPolyfill.ts        37        2         1       34          6
services/api/apiDispatcher.ts         36        6         6       24          4
~localization/unitConverter.ts        35        6         3       26         23
~s/dashboard/WidgetLibrary.tsx        35        3         0       32          0
services/geminiService.ts             34        8         5       21          3
~nents/layout/ModeSelector.tsx        34        3         0       31          3
~gemini/features/versioning.ts        33        5         3       25          5
services/apiKeyStorage.ts             31        3         5       23          5
services/threeCodeRunner.ts           31        5         1       25          3
components/diagram/index.ts           28        3         1       24          0
~ents/auth/PermissionGuard.tsx        25        5         0       20          4
~tests__/geminiService.test.ts        24        4         0       20          1
~_tests__/ChatMessage.test.tsx        24        2         0       22          1
~texts/ConversationContext.tsx        21        3         0       18          4
services/localization/i18n.ts         21        2         0       19          0
hooks/useSync.ts                      18        3         1       14          0
services/gemini/index.ts              18        1         2       15          0
hooks/usePermissions.ts               17        3         0       14          3
services/tutorialValidator.ts         15        1         0       14          1
hooks/useConnectivity.ts              14        3         0       11          0
───────────────────────────────────────────────────────────────────────────────
Total                      197     32206     3693      2122    26391       4544
───────────────────────────────────────────────────────────────────────────────
Estimated Cost to Develop (organic) $839,699
Estimated Schedule Effort (organic) 12.87 months
Estimated People Required (organic) 5.80
───────────────────────────────────────────────────────────────────────────────
Processed 1160319 bytes, 1.160 megabytes (SI)
───────────────────────────────────────────────────────────────────────────────
